Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189384,15.933333333333334,-0.57662886,1.0,1.0,1.0
1000,1.4189383,15.193548387096774,-0.5766289,1.0,1.0,1.0
1500,1.4189384,13.028571428571428,-0.5766289,1.0,1.0,1.0
2000,1.4189384,12.526315789473685,-0.576629,1.0,1.0,1.0
2500,1.4189383,12.243243243243244,-0.5766289,1.0,1.0,1.0
3000,1.4189384,16.1,-0.5766289,1.0,1.0,1.0
3500,1.4189384,15.758620689655173,-0.57662886,1.0,1.0,1.0
4000,1.4189386,14.806451612903226,-0.57662886,1.0,1.0,1.0
4500,1.4189384,15.9,-0.57662886,1.0,1.0,1.0
5000,1.4189385,13.028571428571428,-0.576629,1.0,1.0,1.0
5500,1.4189384,15.09375,-0.5766289,1.0,1.0,1.0
6000,1.4189384,13.558823529411764,-0.5766289,1.0,1.0,1.0
6500,1.4189384,14.029411764705882,-0.576629,1.0,1.0,1.0
7000,1.4189384,14.424242424242424,-0.5766289,1.0,1.0,1.0
7500,1.4189383,17.59259259259259,-0.57662886,1.0,1.0,1.0
8000,1.4189385,18.192307692307693,-0.5766289,1.0,1.0,1.0
8500,1.4189383,16.464285714285715,-0.5766289,1.0,1.0,1.0
9000,1.4189384,18.23076923076923,-0.5766289,1.0,1.0,1.0
9500,1.4189383,14.65625,-0.5766289,1.0,1.0,1.0
10000,1.4189384,12.75,-0.576629,1.0,1.0,1.0
10500,1.4194258,11.3,-0.37719268,1.0,1.0,1.0
11000,1.4200331,11.292682926829269,-0.16778474,1.0,1.0,1.0
11500,1.4200332,12.513513513513514,-0.16778472,1.0,1.0,1.0
12000,1.4200333,9.510204081632653,-0.16778474,1.0,1.0,1.0
12500,1.4200333,10.181818181818182,-0.16778474,1.0,1.0,1.0
13000,1.4200333,13.085714285714285,-0.16778472,1.0,1.0,1.0
13500,1.4200331,13.0,-0.16778475,1.0,1.0,1.0
14000,1.4200333,13.142857142857142,-0.16778474,1.0,1.0,1.0
14500,1.4200332,10.4,-0.16778474,1.0,1.0,1.0
15000,1.4200332,9.866666666666667,-0.16778474,1.0,1.0,1.0
15500,1.4200332,10.369565217391305,-0.16778474,1.0,1.0,1.0
16000,1.4200331,11.605263157894736,-0.16778472,1.0,1.0,1.0
16500,1.4200332,9.375,-0.16778474,1.0,1.0,1.0
17000,1.4200332,9.891304347826088,-0.16778474,1.0,1.0,1.0
17500,1.4200332,9.04,-0.16778474,1.0,1.0,1.0
18000,1.4200331,9.574468085106384,-0.16778474,1.0,1.0,1.0
18500,1.4200332,15.733333333333333,-0.16778472,1.0,1.0,1.0
19000,1.4200332,12.105263157894736,-0.16778472,1.0,1.0,1.0
19500,1.4200332,12.076923076923077,-0.16778472,1.0,1.0,1.0
20000,1.4200331,12.135135135135135,-0.16778474,1.0,1.0,1.0
20500,1.4200332,12.891891891891891,-0.16778474,1.0,1.0,1.0
21000,1.4222442,10.136363636363637,0.24981385,1.0,1.0,1.0
21500,1.422392,7.9298245614035086,0.25952548,1.0,1.0,1.0
22000,1.422392,8.074074074074074,0.25952545,1.0,1.0,1.0
22500,1.4223921,7.771929824561403,0.25952548,1.0,1.0,1.0
23000,1.4223921,6.8125,0.25952548,1.0,1.0,1.0
23500,1.422392,8.036363636363637,0.25952545,1.0,1.0,1.0
24000,1.422392,8.849056603773585,0.25952545,1.0,1.0,1.0
24500,1.422392,8.78,0.25952545,1.0,1.0,1.0
25000,1.422392,6.777777777777778,0.25952545,1.0,1.0,1.0
25500,1.422392,8.641509433962264,0.25952545,1.0,1.0,1.0
26000,1.422392,7.821428571428571,0.25952548,1.0,1.0,1.0
26500,1.422392,8.660377358490566,0.25952545,1.0,1.0,1.0
27000,1.422392,7.5344827586206895,0.25952548,1.0,1.0,1.0
27500,1.422392,8.423076923076923,0.25952545,1.0,1.0,1.0
28000,1.422392,6.588235294117647,0.25952548,1.0,1.0,1.0
28500,1.422392,10.044444444444444,0.25952542,1.0,1.0,1.0
29000,1.422392,8.979591836734693,0.25952545,1.0,1.0,1.0
29500,1.422392,8.381818181818181,0.25952545,1.0,1.0,1.0
30000,1.422392,8.958333333333334,0.25952545,1.0,1.0,1.0
30500,1.422392,8.37037037037037,0.25952545,1.0,1.0,1.0
31000,1.4236789,6.857142857142857,0.4533382,1.0,1.0,1.0
31500,1.4253933,6.723076923076923,0.6295315,1.0,1.0,1.0
32000,1.4253935,5.716216216216216,0.62953156,1.0,1.0,1.0
32500,1.4253935,6.507462686567164,0.6295315,1.0,1.0,1.0
33000,1.4253935,5.532467532467533,0.62953144,1.0,1.0,1.0
33500,1.4253933,5.085365853658536,0.6295315,1.0,1.0,1.0
34000,1.4253933,6.27536231884058,0.6295315,1.0,1.0,1.0
34500,1.4253933,5.265822784810126,0.6295315,1.0,1.0,1.0
35000,1.4253933,5.467532467532467,0.6295315,1.0,1.0,1.0
35500,1.4253933,6.066666666666666,0.6295315,1.0,1.0,1.0
36000,1.4253936,5.728571428571429,0.62953156,1.0,1.0,1.0
36500,1.4253935,6.2,0.62953156,1.0,1.0,1.0
